"","Form.ID","Billing.Year","Num.Units","Address","Dwelling.Type","Condo.Complex.Name"
"89","1745","2011",48,"7000 FOX HAVEN PL","Apartment Bldg",NA
"90","2456","2011",8,"417 RALEIGH PINES DR","Apartment Bldg",NA
"91","6642","2011",68,"400 WESTCLIFF CT","Apartment Bldg",NA
"92","6175","2011",6,"207 PARK AV","Apartment Bldg",NA
"93","9300","2011",9,"4004 VIRGINIA ST","Apartment Bldg",NA
"94","5961","2011",50,"1810 GORMAN  ST","Apartment Bldg",NA
"95","7356","2011",4,"6128 SPICE RIDGE LA","Apartment Bldg",NA
"96","7229","2011",9,"3601 BURT DR","Apartment Bldg",NA
"97","6642","2011",7,"3820 LEXINGTON  DR","Apartment Bldg",NA
"98","4513","2011",6,"106 FAIRCLOTH ST","Apartment Bldg",NA
"99","4513","2011",6,"100 FAIRCLOTH ST","Apartment Bldg",NA
"100","3693","2011",4,"705 PEACH RD","Apartment Bldg",NA
"101","1601","2011",208,"4812 SIX FORKS RD","Apartment Bldg",NA
"102","9486","2011",24,"3200 HILLSBOROUGH ST","Apartment Bldg",NA
"103","2348","2011",370,"1009 WADE AV","Apartment Bldg",NA
"104","5639","2011",33,"190-    FIELDSPRING LA","Apartment Bldg",NA
"105","7436","2011",11,"3809 SHERMAN AV","Apartment Bldg",NA
"106","6642","2011",16,"1101 CLANTON ST","Apartment Bldg",NA
"107","2341","2011",200,"4600 DANSEY DR","Apartment Bldg",NA
"108","2456","2011",4,"208 N PEARTREE LA","Apartment Bldg",NA
"109","7614","2011",5,"1215 S EAST ST","Apartment Bldg",NA
"110","8614","2011",6,"316 BRANCH ST","Apartment Bldg",NA
"111","455","2011",5,"922 W JOHNSON ST","Apartment Bldg",NA
"112","9866","2011",350,"850 CORPORATE CENTER DR","Apartment Bldg",NA
"113","1777","2011",10,"1701 CURTIS DR","Apartment Bldg",NA
"114","2369","2011",288,"3201 WALNUT CREEK PKWY","Apartment Bldg",NA
"115","2163","2011",15,"3609 ANCLOTE PL","Apartment Bldg",NA
"116","2033","2011",3,"1508 GORMAN ST","Apartment Bldg",NA
"117","4076","2011",72,"2310 CRESCENT CREEK  DR","Apartment Bldg",NA
"118","8236","2011",48,"1110 MCKIMMON VIEW CT","Apartment Bldg",NA
"119","9899","2011",6,"2809 AVENT FERRY RD","Apartment Bldg",NA
"120","8614","2011",9,"1450 SAWYER RD","Apartment Bldg",NA
"121","2468","2011",60,"5422 TRALEE PL","Apartment Bldg",NA
"122","6642","2011",168,"7101 SANDY FORKS RD","Apartment Bldg",NA
"123","9497","2011",4,"1901 TISCHER RD","Apartment Bldg",NA
"124","4499","2011",16,"304 BUCK JONES RD","Apartment Bldg",NA
"125","5647","2011",12,"2402 CLARK AV","Apartment Bldg",NA
"126","5017","2011",600,"6620-    THE LAKES DR","Apartment Bldg",NA
"127","4394","2011",296,"2406 WYCLIFF RD","Apartment Bldg",NA
"128","3857","2011",6,"214 ASHE AV","Apartment Bldg",NA
"129","969","2011",148,"3939 WAKE FOREST RD","Apartment Bldg",NA
"130","8347","2011",48,"501 CHRIS ST","Apartment Bldg",NA
"131","1379","2011",8,"6132 JOHNSDALE RD","Apartment Bldg",NA
"132","6575","2011",11,"200 E EDENTON ST","Apartment Bldg",NA
"133","2342","2011",280,"1805 CREEK RIDGE LA","Apartment Bldg",NA
"134","7917","2011",75,"2315 GRANT AV","Apartment Bldg",NA
"135","797","2011",8,"100 HORNE ST","Apartment Bldg",NA
"136","7533","2011",32,"1400 GORMAN ST","Apartment Bldg",NA
"137","6642","2011",8,"1505 CREST RD","Apartment Bldg",NA
"138","5297","2011",46,"1713 CREST RD","Apartment Bldg",NA
"139","8233","2011",5,"1514 COLLEGEVIEW AV","Apartment Bldg",NA
"140","7809","2011",24,"4800 AVENIDA DEL SOL DR","Apartment Bldg",NA
"141","1118","2011",24,"4801 AVENIDA DEL SOL DR","Apartment Bldg",NA
"142","7466","2011",8,"1114 CHANEY RD","Apartment Bldg",NA
"143","8168","2011",50,"831 SUFFOLK BLVD","Apartment Bldg",NA
"144","6573","2011",228,"3917  KNICKERBOCKER PKWY","Apartment Bldg",NA
"145","4780","2011",286,"509 GLENWOOD AV","Apartment Bldg",NA
"146","6175","2011",12,"725 METHOD RD","Apartment Bldg",NA
"147","3204","2011",172,"7208 CANAAN LN","Apartment Bldg",NA
"148","927","2011",291,"6310 TERRA VERDE DR","Apartment Bldg",NA
"149","1581","2011",88,"2001 BOOKER DR","Apartment Bldg",NA
"150","2605","2011",61,"1101 HILLSBOROUGH ST","Apartment Bldg",NA
"151","9506","2011",4,"145 PINELAND CIR","Apartment Bldg",NA
"152","9238","2011",4,"1913 TISCHER RD","Apartment Bldg",NA
"153","1423","2011",5,"706 HARRIS ST","Apartment Bldg",NA
"154","3491","2011",6,"621 NAZARETH ST","Apartment Bldg",NA
"155","10288","2011",27,"4085  SPRING FOREST RD","Apartment Bldg",NA
"156","332","2011",3,"109 E AYCOCK  ST","Apartment Bldg",NA
"157","413","2011",24,"2400 BRENTWOOD  RD","Apartment Bldg",NA
"158","420","2011",50,"2601 PINE VILLAGE ROAD","Apartment Bldg",NA
"159","422","2011",50,"111 MILLCHEST PL","Apartment Bldg",NA
"160","429","2011",50,"2010 HODGES CREEK  DR","Apartment Bldg",NA
"161","432","2011",50,"705 FLAVION  DR","Apartment Bldg",NA
"162","438","2011",8,"1410 CARNAGE DR","Apartment Bldg",NA
"163","438","2011",8,"1401 SAWYER  RD","Apartment Bldg",NA
"164","438","2011",8,"1405 SAWYER  RD","Apartment Bldg",NA
"165","468","2011",192,"100 CALIBRE CHASE  DR","Apartment Bldg",NA
"166","531","2011",176,"5900 TIMBER CREEK LA","Apartment Bldg",NA
"167","575","2011",4,"1312 BANBURY ST","Apartment Bldg",NA
"168","647","2011",5,"24 N PETTIGREW ST","Apartment Bldg",NA
"169","658","2011",5,"615 ST. MARY'S  ST","Apartment Bldg",NA
"170","660","2011",37,"2534 LAKE WHEELER RD","Apartment Bldg",NA
"171","670","2011",4,"1424 SCALES ST","Apartment Bldg",NA
"172","698","2011",3,"29 ENTERPRISE ST","Apartment Bldg",NA
"173","714","2011",214,"3801 BONNEVILLE  CT","Apartment Bldg",NA
"174","710","2011",66,"10710 NICKLEBY WY","Apartment Bldg",NA
"175","710","2011",30,"10711 NICKLEBY WY","Apartment Bldg",NA
"176","758","2011",52,"443 N PERSON ST","Apartment Bldg",NA
"177","726","2011",8,"10820 OLIVER RD","Apartment Bldg",NA
"178","726","2011",12,"10830 OLIVER RD","Apartment Bldg",NA
"179","726","2011",12,"10810 OLIVER RD","Apartment Bldg",NA
"180","726","2011",12,"10840 OLIVER  RD","Apartment Bldg",NA
"181","726","2011",12,"10850 OLIVER  RD","Apartment Bldg",NA
"182","726","2011",12,"10901 ATTICUS RD","Apartment Bldg",NA
"183","726","2011",12,"10801 ATTICUS RD","Apartment Bldg",NA
"184","9609","2011",14,"3310 SUN HILL LN","Apartment Bldg",NA
"185","782","2011",228,"4000 GRAND MANOR CT","Apartment Bldg",NA
"186","773","2011",6,"620 W JONES ST","Apartment Bldg",NA
"187","773","2011",12,"510 S HARRINGTON PL","Apartment Bldg",NA
"188","773","2011",8,"212 N BOYLAN AVE","Apartment Bldg",NA
"189","773","2011",7,"1131 CARLTON AVE","Apartment Bldg",NA
"190","773","2011",10,"1503 CREST RD","Apartment Bldg",NA
"191","769","2011",32,"213 LIGHTNER LN","Apartment Bldg",NA
"192","773","2011",10,"3331 SUN HOLLOW LN","Apartment Bldg",NA
"193","773","2011",19,"1407 CREST RD","Apartment Bldg",NA
"194","773","2011",24,"625 WASHINGTON ST","Apartment Bldg",NA
"195","790","2011",48,"3030 RIPLEY STATION  WY","Apartment Bldg",NA
"196","9980","2011",292,"2412 LANDMARK DR","Apartment Bldg",NA
"197","547","2011",112,"9310 RIVER HAVEN  PL","Apartment Bldg",NA
"198","897","2011",134,"1313 HARDIMONT RD","Apartment Bldg",NA
"199","926","2011",6,"606 POWELL DR","Apartment Bldg",NA
"200","9541","2011",20,"611 W LANE ST","Apartment Bldg",NA
"201","977","2011",6,"6100 SPICE RIDGE  LN","Apartment Bldg",NA
"202","986","2011",7,"220 COX  AVE","Apartment Bldg",NA
"203","1009","2011",8,"2320 CLARK  AVE","Apartment Bldg",NA
"204","1032","2011",432,"3210 TRIMBLESTONE LN","Apartment Bldg",NA
"205","5322","2011",71,"503 DONALD ROSS  DR","Apartment Bldg",NA
"206","1071","2011",300,"7931 OAK ESTATE  ST","Apartment Bldg",NA
"207","1069","2011",112,"4315 LEAD MINE  RD","Apartment Bldg",NA
"208","1118","2011",12,"3212 JOBS JOURNEY CT","Apartment Bldg",NA
"209","1118","2011",4,"1208 ANGELUS DR","Apartment Bldg",NA
"210","1118","2011",4,"1236 ANGELUS DR","Apartment Bldg",NA
"211","1118","2011",4,"1240 ANGELUS DR","Apartment Bldg",NA
"212","1158","2011",282,"6310 DAYBROOK CIR","Apartment Bldg",NA
"213","1177","2011",96,"4219 BROCKTON DR","Apartment Bldg",NA
"214","1206","2011",8,"801 MORGAN  ST W","Apartment Bldg",NA
"215","1408","2011",228,"120 RIDGEWOOD DR","Apartment Bldg",NA
"216","1486","2011",7,"2810 DEER COVE LN","Apartment Bldg",NA
"217","1544","2011",344,"3220 SHOREVIEW RD","Apartment Bldg",NA
"218","1547","2011",5,"1209 FILMORE ST","Apartment Bldg",NA
